srcStateName,srcSubDistrictName,srcYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,srcDistrictName,YearCode,Year
Karnataka,K.G.F,2019-20,,,,,0,0,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Khanapur,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kitthuru,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kolar,2019-20,2.0,5000.0,3.0,12500.0,5,17500,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kolhara,2019-20,,,,,0,0,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Koppa,2019-20,,,,,0,0,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Koppal,2019-20,,,,,0,0,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Koratagere,2019-20,,,,,0,0,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kotturu,2019-20,,,,,0,0,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Krishnarajpet,2019-20,,,,,0,0,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,K.R.Nagar,2019-20,,,,,0,0,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Afzalpur,2019-20,0.0,0.0,0.0,0.0,0,0,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ajjampura,2019-20,,,,,0,0,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Alnavara,2019-20,,,,,0,0,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Alur,2019-20,,,,,0,0,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Anekal,2019-20,0.0,0.0,6.0,10287.0,6,10287,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ankola,2019-20,0.0,0.0,0.0,0.0,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Annigeri,2019-20,,,,,0,0,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kudligi,2019-20,,,,,0,0,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kukanuru,2019-20,,,,,0,0,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kumta,2019-20,,,,,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kundapur,2019-20,0.0,0.0,0.0,0.0,0,0,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kundgol,2019-20,,,,,0,0,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kunigal,2019-20,,,,,0,0,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kurugodu,2019-20,,,,,0,0,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kushtagi,2019-20,1.0,50.0,0.0,0.0,1,50,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Laxmeshwar,2019-20,,,,,0,0,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Lingasugur,2019-20,0.0,0.0,0.0,0.0,0,0,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Maddur,2019-20,,,,,0,0,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Madhugiri,2019-20,,,,,0,0,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Madikeri,2019-20,0.0,0.0,0.0,0.0,0,0,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Malavalli,2019-20,,,,,0,0,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Malur,2019-20,0.0,0.0,1.0,3000.0,1,3000,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mandya,2019-20,,,,,0,0,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mangalore,2019-20,0.0,0.0,2.0,3650.0,2,3650,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Manvi,2019-20,,,,,0,0,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Maski,2019-20,,,,,0,0,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Molakalmuru,2019-20,,,,,0,0,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudabidri,2019-20,,,,,0,0,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudalagi,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Muddebihal,2019-20,,,,,0,0,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudhol,2019-20,,,,,0,0,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudigere,2019-20,,,,,0,0,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mulabagilu,2019-20,,,,,0,0,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mundargi,2019-20,,,,,0,0,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mundgod,2019-20,,,,,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mysuru,2019-20,0.0,0.0,2.0,4029.0,2,4029,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nagamangala,2019-20,,,,,0,0,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nanjangud,2019-20,0.0,0.0,3.0,9830.0,3,9830,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Naragund,2019-20,0.0,0.0,2.0,26.0,2,26,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Narasimharajapura,2019-20,,,,,0,0,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Navalgund,2019-20,,,,,0,0,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nelamangala,2019-20,0.0,0.0,1.0,5000.0,1,5000,BENGALURU RURAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nidagundi,2019-20,,,,,0,0,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nippani,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nyamati,2019-20,,,,,0,0,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Pandavpura,2019-20,,,,,0,0,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Pavagada,2019-20,,,,,0,0,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Piriyapatna,2019-20,,,,,0,0,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Puttur,2019-20,,,,,0,0,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Rabakavi Banahatti,2019-20,,,,,0,0,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Raibag,2019-20,0.0,0.0,1.0,1000.0,1,1000,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Raichur,2019-20,7.0,47500.0,0.0,0.0,7,47500,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ramadurg,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ranebennur,2019-20,,,,,0,0,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ratteehalli,2019-20,,,,,0,0,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Rona,2019-20,,,,,0,0,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sagara,2019-20,0.0,0.0,1.0,5000.0,1,5000,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sakleshpura,2019-20,,,,,0,0,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Saraguru,2019-20,,,,,0,0,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Savadatti,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Savanur,2019-20,,,,,0,0,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sedam,2019-20,,,,,0,0,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shahbadha,2019-20,,,,,0,0,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shiggaon,2019-20,,,,,0,0,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shikaripura,2019-20,0.0,0.0,0.0,0.0,0,0,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shimoga,2019-20,,,,,0,0,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shirahatti,2019-20,,,,,0,0,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Siddapur,2019-20,,,,,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sindagi,2019-20,,,,,0,0,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sindhanur,2019-20,2.0,10000.0,0.0,0.0,2,10000,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sira,2019-20,1.0,5.0,0.0,0.0,1,5,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Siraguppa,2019-20,,,,,0,0,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
