ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,YearCode,Year
75,India,29,Karnataka,540,Haveri,5491,Hangal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
9,India,29,Karnataka,540,Haveri,5492,Haveri,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
69,India,29,Karnataka,540,Haveri,5493,Byadgi,2019-20,0.0,0.0,24.0,108350.0,24,108350,2019,"Financial Year (Apr - Mar), 2019"
76,India,29,Karnataka,540,Haveri,5494,Hirekerur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
77,India,29,Karnataka,540,Haveri,5495,Ranibennur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
78,India,29,Karnataka,540,Haveri,7106,Rattihalli,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
17,India,29,Karnataka,541,Kodagu,5566,Madikeri,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
90,India,29,Karnataka,541,Kodagu,5567,Somvarpet,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
91,India,29,Karnataka,541,Kodagu,5568,Virajpet,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
42,India,29,Karnataka,542,Kolar,5590,Srinivaspur,2019-20,0.0,0.0,1.0,2000.0,1,2000,2019,"Financial Year (Apr - Mar), 2019"
62,India,29,Karnataka,542,Kolar,5591,Kolar,2019-20,2.0,5000.0,3.0,12500.0,5,17500,2019,"Financial Year (Apr - Mar), 2019"
46,India,29,Karnataka,542,Kolar,5592,Malur,2019-20,0.0,0.0,1.0,3000.0,1,3000,2019,"Financial Year (Apr - Mar), 2019"
15,India,29,Karnataka,542,Kolar,5593,Bangarapet,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
93,India,29,Karnataka,542,Kolar,5594,Mulbagal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
92,India,29,Karnataka,542,Kolar,7002,Kolar Gold Field,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
99,India,29,Karnataka,543,Koppal,5464,Yelbarga,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
26,India,29,Karnataka,543,Koppal,5465,Kushtagi,2019-20,1.0,50.0,0.0,0.0,1,50,2019,"Financial Year (Apr - Mar), 2019"
94,India,29,Karnataka,543,Koppal,5466,Gangawati,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
97,India,29,Karnataka,543,Koppal,5467,Koppal,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
95,India,29,Karnataka,543,Koppal,7091,Kanakagiri,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
96,India,29,Karnataka,543,Koppal,7092,Karatagi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
98,India,29,Karnataka,543,Koppal,7093,Kukunoor,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
100,India,29,Karnataka,544,Mandya,5546,Krishnarajpet,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
104,India,29,Karnataka,544,Mandya,5547,Nagamangala,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
105,India,29,Karnataka,544,Mandya,5548,Pandavapura,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
106,India,29,Karnataka,544,Mandya,5549,Shrirangapattana,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
103,India,29,Karnataka,544,Mandya,5550,Mandya,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
101,India,29,Karnataka,544,Mandya,5551,Maddur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
102,India,29,Karnataka,544,Mandya,5552,Malavalli,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
109,India,29,Karnataka,545,Mysuru,5569,Piriyapatna,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
107,India,29,Karnataka,545,Mysuru,5570,Hunsur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
108,India,29,Karnataka,545,Mysuru,5571,Krishnarajanagara,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
49,India,29,Karnataka,545,Mysuru,5572,Mysuru,2019-20,0.0,0.0,2.0,4029.0,2,4029,2019,"Financial Year (Apr - Mar), 2019"
8,India,29,Karnataka,545,Mysuru,5573,Heggadadevankote,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
59,India,29,Karnataka,545,Mysuru,5574,Nanjangud,2019-20,0.0,0.0,3.0,9830.0,3,9830,2019,"Financial Year (Apr - Mar), 2019"
7,India,29,Karnataka,545,Mysuru,5575,Tirumakudal - Narsipur,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
110,India,29,Karnataka,545,Mysuru,7098,Saraguru,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
6,India,29,Karnataka,546,Raichur,5459,Lingsugur,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
29,India,29,Karnataka,546,Raichur,5460,Devadurga,2019-20,1.0,5000.0,0.0,0.0,1,5000,2019,"Financial Year (Apr - Mar), 2019"
32,India,29,Karnataka,546,Raichur,5461,Raichur,2019-20,7.0,47500.0,0.0,0.0,7,47500,2019,"Financial Year (Apr - Mar), 2019"
111,India,29,Karnataka,546,Raichur,5462,Manvi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
31,India,29,Karnataka,546,Raichur,5463,Sindhnur,2019-20,2.0,10000.0,0.0,0.0,2,10000,2019,"Financial Year (Apr - Mar), 2019"
113,India,29,Karnataka,546,Raichur,7097,Sirwar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
112,India,29,Karnataka,546,Raichur,7101,Maski,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
53,India,29,Karnataka,547,Shivamogga,5515,Sagar,2019-20,0.0,0.0,1.0,5000.0,1,5000,2019,"Financial Year (Apr - Mar), 2019"
117,India,29,Karnataka,547,Shivamogga,5516,Sorab,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
